Település,Településtípus,2022-es helyezés a rangsorban,2022-es Indexpontszám,rangsor2014,index2014,Rangsor helyezés változása 2014-hez képest,Indexpontszám változása 2014-hez képest
Gárdony,Közepes település,60,"23,5",30,"19,9",-30,"-3,6"
Kiskőrös,Közepes település,61,"23,5",42,"18,8",-19,"-4,7"
Püspökladány,Közepes település,97,"20,1",38,"19,2",-59,"-0,9"
Sátoraljaújhely,Közepes település,35,"26,1",39,19,4,"-7,1"
Hajdúhadház,Közepes település,182,"12,3",183,"8,3",1,-4
Balatonfüred,Közepes település,1,"42,3",1,"28,5",0,"-13,8"
Üllő,Közepes település,70,"22,3",95,"15,7",25,"-6,6"
Maglód,Közepes település,102,"19,5",132,"13,4",30,"-6,1"
Tiszavasvári,Közepes település,103,"19,5",131,"13,5",28,-6
Újfehértó,Közepes település,106,"19,2",138,"13,1",32,"-6,1"
Bonyhád,Közepes település,39,"25,7",22,"20,5",-17,"-5,2"
Gyomaendrőd,Közepes település,108,"19,1",93,"15,7",-15,"-3,4"
Budakalász,Közepes település,64,23,76,"16,7",12,"-6,3"
Nagykáta,Közepes település,82,"21,3",28,"20,1",-54,"-1,2"
Halásztelek,Közepes település,45,25,62,"17,7",17,"-7,3"
Pilis,Közepes település,173,"14,1",182,9,9,"-5,1"
Kőszeg,Közepes település,32,"26,4",27,"20,2",-5,"-6,2"
Kiskunmajsa,Közepes település,114,"18,7",116,"14,4",2,"-4,3"
Tiszakécske,Közepes település,15,"28,1",48,"18,6",33,"-9,5"
Lajosmizse,Közepes település,147,"16,8",169,"10,9",22,"-5,9"
Isaszeg,Közepes település,105,"19,3",144,"12,8",39,"-6,5"
Diósd,Közepes település,48,"24,8",23,"20,2",-25,"-4,6"
Sárbogárd,Közepes település,84,"21,2",122,14,38,"-7,2"
Dorog,Közepes település,26,"27,1",31,"19,9",5,"-7,2"
Nyírbátor,Közepes település,22,"27,7",14,"21,5",-8,"-6,2"
Tököl,Közepes település,94,"20,4",103,"15,2",9,"-5,2"
Bátonyterenye,Közepes település,124,18,113,"14,7",-11,"-3,3"
Sajószentpéter,Közepes település,158,"15,6",173,"10,6",15,-5
Bicske,Közepes település,54,"24,4",53,"18,2",-1,"-6,2"
Kerepes,Közepes település,127,18,123,"13,8",-4,"-4,2"
Ráckeve,Közepes település,55,"24,4",57,"18,1",2,"-6,3"
Solymár,Közepes település,25,"27,2",82,"16,4",57,"-10,8"
Tiszafüred,Közepes település,41,"25,5",58,"18,1",17,"-7,4"
Sárospatak,Közepes település,20,"27,9",32,"19,6",12,"-8,3"
Marcali,Közepes település,40,"25,6",43,"18,8",3,"-6,8"
Tolna,Közepes település,89,"21,1",60,"17,9",-29,"-3,2"
Tárnok,Közepes település,113,"18,8",128,"13,6",15,"-5,2"
Körmend,Közepes település,34,"26,2",10,"22,3",-24,"-3,9"
Csömör,Közepes település,62,"23,3",64,"17,6",2,"-5,7"
Kisújszállás,Közepes település,73,"22,1",92,"15,8",19,"-6,3"
Tiszaföldvár,Közepes település,107,"19,1",143,"12,9",36,"-6,2"
Kapuvár,Közepes település,37,26,33,"19,6",-4,"-6,4"
Balatonalmádi,Közepes település,18,28,4,"23,3",-14,"-4,7"
Ócsa,Közepes település,77,"21,8",88,16,11,"-5,8"
Heves,Közepes település,100,"19,6",96,"15,6",-4,-4
Celldömölk,Közepes település,36,26,18,"20,9",-18,"-5,1"
Barcs,Közepes település,44,"25,2",50,"18,5",6,"-6,7"
Csorna,Közepes település,79,"21,6",45,"18,7",-34,"-2,9"
Szigetvár,Közepes település,86,"21,2",41,"18,9",-45,"-2,3"
Erdőkertes,Közepes település,140,17,164,"11,6",24,"-5,4"
Mezőberény,Közepes település,69,"22,7",83,"16,3",14,"-6,4"
Nagyatád,Közepes település,29,"26,9",9,"22,5",-20,"-4,4"
Edelény,Közepes település,109,"19,1",91,"15,9",-18,"-3,2"
Sarkad,Közepes település,143,"16,9",129,"13,6",-14,"-3,3"
Nagykálló,Közepes település,87,"21,1",49,"18,6",-38,"-2,5"
Kiskunlacháza,Közepes település,117,"18,4",107,"15,1",-10,"-3,3"
Dunavarsány,Közepes település,51,"24,5",54,"18,2",3,"-6,3"
Nagykovácsi,Közepes település,81,"21,3",69,"17,4",-12,"-3,9"
Siklós,Közepes település,52,"24,5",67,"17,4",15,"-7,1"
Piliscsaba,Közepes település,31,"26,5",26,"20,2",-5,"-6,3"
Pásztó,Közepes település,21,"27,8",46,"18,6",25,"-9,2"
Sülysáp,Közepes település,135,"17,3",161,"11,7",26,"-5,6"
Páty,Közepes település,58,"23,9",70,"17,4",12,"-6,5"
Szerencs,Közepes település,14,"28,4",6,"22,6",-8,"-5,8"
Derecske,Közepes település,85,"21,2",56,"18,1",-29,"-3,1"
Hajdúdorog,Közepes település,116,"18,7",102,"15,2",-14,"-3,5"
Szentgotthárd,Közepes település,4,31,3,"24,7",-1,"-6,3"
Sándorfalva,Közepes település,150,"16,6",154,"12,4",4,"-4,2"
Üröm,Közepes település,74,"21,9",99,"15,4",25,"-6,5"
Őrbottyán,Közepes település,145,"16,9",160,"11,7",15,"-5,2"
Jászapáti,Közepes település,122,"18,1",104,"15,2",-18,"-2,9"
Dunaföldvár,Közepes település,19,"27,9",19,"20,9",0,-7
Nádudvar,Közepes település,118,"18,4",115,"14,5",-3,"-3,9"
Kunszentmiklós,Közepes település,76,"21,8",79,"16,6",3,"-5,2"
Ercsi,Közepes település,129,"17,9",163,"11,6",34,"-6,3"
Szeghalom,Közepes település,67,23,59,18,-8,-5
Győrújbarát,Közepes település,93,"20,4",94,"15,7",1,"-4,7"
Jánoshalma,Közepes település,176,"13,8",135,"13,2",-41,"-0,6"
Vásárosnamény,Közepes település,75,"21,8",35,"19,5",-40,"-2,3"
Mogyoród,Közepes település,88,"21,1",109,"14,8",21,"-6,3"
Kecel,Közepes település,172,"14,1",166,"11,3",-6,"-2,8"
Polgár,Közepes település,148,"16,6",100,"15,3",-48,"-1,3"
Túrkeve,Közepes település,152,"16,4",124,"13,8",-28,"-2,6"
Tura,Közepes település,159,"15,3",168,11,9,"-4,3"
Tamási,Közepes település,12,"28,6",8,"22,5",-4,"-6,1"
Velence,Közepes település,59,"23,8",25,"20,2",-34,"-3,6"
Jászárokszállás,Közepes település,47,"24,9",66,"17,5",19,"-7,4"
Nyíradony,Közepes település,111,"18,9",110,"14,7",-1,"-4,2"
Kunszentmárton,Közepes település,123,18,87,"16,1",-36,"-1,9"
Nyergesújfalu,Közepes település,7,"30,3",29,20,22,"-10,3"
Füzesabony,Közepes település,99,20,85,"16,2",-14,"-3,8"
Fehérgyarmat,Közepes település,23,"27,3",12,"22,1",-11,"-5,2"
Lenti,Közepes település,38,"25,9",21,"20,5",-17,"-5,4"
Kistelek,Közepes település,80,"21,5",89,"15,9",9,"-5,6"
Soltvadkert,Közepes település,144,"16,9",127,"13,7",-17,"-3,2"
Kunhegyes,Közepes település,131,"17,8",98,"15,4",-33,"-2,4"
Ács,Közepes település,126,18,153,"12,5",27,"-5,5"
Taksony,Közepes település,90,"21,1",40,19,-50,"-2,1"
Létavértes,Közepes település,171,"14,3",176,"10,3",5,-4
Dévaványa,Közepes település,119,"18,3",140,13,21,"-5,3"
Kozármisleny,Közepes település,83,"21,3",90,"15,9",7,"-5,4"
Polgárdi,Közepes település,115,"18,7",142,"12,9",27,"-5,8"
Zirc,Közepes település,24,"27,2",16,"20,9",-8,"-6,3"
Nyírtelek,Közepes település,153,"16,2",118,"14,2",-35,-2
Enying,Közepes település,155,"15,9",112,"14,7",-43,"-1,2"
Kerekegyháza,Közepes település,151,"16,6",152,"12,5",1,"-4,1"
Felsőzsolca,Közepes település,112,"18,8",108,15,-4,"-3,8"
Ibrány,Közepes település,110,19,114,"14,5",4,"-4,5"
Putnok,Közepes település,161,"15,1",145,"12,8",-16,"-2,3"
Szada,Közepes település,33,"26,3",80,"16,5",47,"-9,8"
Nagytarcsa,Közepes település,28,"26,9",63,"17,7",35,"-9,2"
Mindszent,Közepes település,160,"15,1",136,"13,2",-24,"-1,9"
Téglás,Közepes település,139,17,156,"12,3",17,"-4,7"
Mórahalom,Közepes település,46,25,47,"18,6",1,"-6,4"
Tahitótfalu,Közepes település,146,"16,8",125,"13,8",-21,-3
Vésztő,Közepes település,149,"16,6",147,"12,6",-2,-4
Tápiószecső,Közepes település,178,"13,7",181,"9,4",3,"-4,3"
Encs,Közepes település,72,"22,2",75,"16,8",3,"-5,4"
Fegyvernek,Közepes település,166,"14,7",157,"12,2",-9,"-2,5"
Aszód,Közepes település,9,"29,8",17,"20,9",8,"-8,9"
Dömsöd,Közepes település,170,"14,5",174,"10,5",4,-4
Bácsalmás,Közepes település,96,"20,3",97,"15,6",1,"-4,7"
Szentlőrinc,Közepes település,138,17,121,"14,1",-17,"-2,9"
Solt,Közepes település,104,"19,4",126,"13,7",22,"-5,7"
Kartal,Közepes település,137,"17,1",172,"10,7",35,"-6,4"
Nagyecsed,Közepes település,167,"14,7",178,"10,2",11,"-4,5"
Jánossomorja,Közepes település,91,21,101,"15,3",10,"-5,7"
Martonvásár,Közepes település,68,"22,9",73,"17,1",5,"-5,8"
Szabadszállás,Közepes település,163,"14,8",148,"12,6",-15,"-2,2"
Tápiószele,Közepes település,164,"14,8",177,"10,2",13,"-4,6"
Bátaszék,Közepes település,42,"25,3",52,"18,3",10,-7
Újszász,Közepes település,130,"17,9",117,"14,2",-13,"-3,7"
Balkány,Közepes település,179,"13,6",179,"9,7",0,"-3,9"
Sümeg,Közepes település,57,"24,1",36,"19,4",-21,"-4,7"
Jászfényszaru,Közepes település,53,"24,4",74,"17,1",21,"-7,3"
Délegyháza,Közepes település,101,"19,5",133,"13,4",32,"-6,1"
Zsámbék,Közepes település,6,"30,6",51,"18,5",45,"-12,1"
Zalaszentgrót,Közepes település,65,23,77,"16,7",12,"-6,3"
Pusztaszabolcs,Közepes település,154,16,149,"12,6",-5,"-3,4"
Berhida,Közepes település,141,17,146,"12,7",5,"-4,3"
Martfű,Közepes település,63,"23,1",72,"17,2",9,"-5,9"
Tápiószentmárton,Közepes település,174,14,162,"11,7",-12,"-2,3"
Mezőcsát,Közepes település,169,"14,6",151,"12,5",-18,"-2,1"
Rajka,Közepes település,184,"10,8",119,"14,1",-65,"3,3"
Alsózsolca,Közepes település,175,14,171,"10,8",-4,"-3,2"
Kisbér,Közepes település,30,"26,7",34,"19,6",4,"-7,1"
Alsónémedi,Közepes település,49,"24,8",86,"16,1",37,"-8,7"
Izsák,Közepes település,180,"13,5",167,"11,2",-13,"-2,3"
Szikszó,Közepes település,10,"29,7",68,"17,4",58,"-12,3"
Lőrinci,Közepes település,128,"17,9",111,"14,7",-17,"-3,2"
Hosszúpályi,Közepes település,181,"13,2",180,"9,6",-1,"-3,6"
Csákvár,Közepes település,132,"17,6",137,"13,1",5,"-4,5"
Jászladány,Közepes település,183,11,184,"7,2",1,"-3,8"
Algyő,Közepes település,66,23,71,"17,3",5,"-5,7"
Tiszalök,Közepes település,134,"17,3",134,"13,3",0,-4
Balatonboglár,Közepes település,3,"32,6",20,"20,8",17,"-11,8"
Mezőkovácsháza,Közepes település,71,"22,3",78,"16,6",7,"-5,7"
Nagyhalász,Közepes település,162,"15,1",165,"11,3",3,"-3,8"
Tótkomlós,Közepes település,92,"20,9",84,"16,3",-8,"-4,6"
Kaba,Közepes település,125,18,105,"15,2",-20,"-2,8"
Bugyi,Közepes település,78,"21,6",130,"13,5",52,"-8,1"
Szécsény,Közepes település,95,"20,4",65,"17,5",-30,"-2,9"
Tát,Közepes település,120,"18,3",106,"15,1",-14,"-3,2"
Mikepércs,Közepes település,156,"15,9",158,"12,1",2,"-3,8"
Nagymaros,Közepes település,136,"17,1",139,13,3,"-4,1"
Vámospércs,Közepes település,157,"15,8",120,"14,1",-37,"-1,7"
Monorierdő,Közepes település,168,"14,6",175,"10,5",7,"-4,1"
Nyékládháza,Közepes település,133,"17,5",141,"12,9",8,"-4,6"
Balatonlelle,Közepes település,27,"27,1",15,21,-12,"-6,1"
Fonyód,Közepes település,5,"30,7",2,"27,9",-3,"-2,8"
Rákóczifalva,Közepes település,177,"13,8",159,"11,8",-18,-2
Kunmadaras,Kistelepülés,1409,"9,2",1299,"8,1",-110,"-1,1"
Battonya,Kistelepülés,343,"12,1",198,"10,5",-145,"-1,6"
Füzesgyarmat,Kistelepülés,221,"12,8",325,10,104,"-2,8"
Szatymaz,Kistelepülés,391,"11,9",858,"8,7",467,"-3,2"
Helvécia,Kistelepülés,331,"12,1",357,"9,9",26,"-2,2"
Lábatlan,Kistelepülés,237,"12,7",212,"10,5",-25,"-2,2"
Komádi,Kistelepülés,504,"11,3",366,"9,8",-138,"-1,5"
Szentmártonkáta,Kistelepülés,699,"10,6",1313,"8,1",614,"-2,5"
Örkény,Kistelepülés,489,"11,4",529,"9,4",40,-2
Lakitelek,Kistelepülés,184,"13,1",217,"10,5",33,"-2,6"
Tiszaalpár,Kistelepülés,648,"10,8",656,"9,1",8,"-1,7"
Egyek,Kistelepülés,1199,"9,5",855,"8,7",-344,"-0,8"
Sződliget,Kistelepülés,117,"13,8",96,"11,4",-21,"-2,4"
Jászkisér,Kistelepülés,599,11,738,"8,9",139,"-2,1"
Rácalmás,Kistelepülés,41,"15,8",18,"14,3",-23,"-1,5"
Környe,Kistelepülés,58,"15,3",67,12,9,"-3,3"
Domaszék,Kistelepülés,581,11,914,"8,6",333,"-2,4"
Tiszalúc,Kistelepülés,812,"10,3",1355,8,543,"-2,3"
Emőd,Kistelepülés,369,12,431,"9,6",62,"-2,4"
Inárcs,Kistelepülés,153,"13,4",264,"10,3",111,"-3,1"
Szabadbattyán,Kistelepülés,863,"10,2",255,"10,3",-608,"0,1"
Onga,Kistelepülés,329,"12,1",359,"9,9",30,"-2,2"
Harkány,Kistelepülés,71,"14,9",68,12,-3,"-2,9"
Újkígyós,Kistelepülés,495,"11,3",511,"9,4",16,"-1,9"
Kemecse,Kistelepülés,336,"12,1",350,"9,9",14,"-2,2"
Nyírmada,Kistelepülés,916,"10,1",796,"8,8",-120,"-1,3"
Nyúl,Kistelepülés,181,"13,1",184,"10,7",3,"-2,4"
Ebes,Kistelepülés,62,"15,2",153,"10,9",91,"-4,3"
Balatonfűzfő,Kistelepülés,11,"18,2",9,"14,8",-2,"-3,4"
Mélykút,Kistelepülés,396,"11,8",630,"9,2",234,"-2,6"
Kondoros,Kistelepülés,452,"11,5",246,"10,4",-206,"-1,1"
Hévíz,Kistelepülés,2,"23,2",1,"21,2",-1,-2
Mezőfalva,Kistelepülés,586,11,278,"10,2",-308,"-0,8"
Dány,Kistelepülés,481,"11,4",665,"9,1",184,"-2,3"
Telki,Kistelepülés,34,"16,1",49,"12,5",15,"-3,6"
Etyek,Kistelepülés,92,"14,3",136,11,44,"-3,3"
Kótaj,Kistelepülés,641,"10,8",626,"9,2",-15,"-1,6"
Aba,Kistelepülés,40,"15,8",95,"11,4",55,"-4,4"
Csorvás,Kistelepülés,356,12,506,"9,4",150,"-2,6"
Kóka,Kistelepülés,404,"11,8",1087,"8,4",683,"-3,4"
Nagyszénás,Kistelepülés,400,"11,8",308,"10,1",-92,"-1,7"
Csemő,Kistelepülés,714,"10,6",1697,"7,6",983,-3
Csenger,Kistelepülés,29,"16,5",23,"13,8",-6,"-2,7"
Mezőhegyes,Kistelepülés,320,"12,2",324,10,4,"-2,2"
Csurgó,Kistelepülés,35,"16,1",35,"13,3",0,"-2,8"
Szirmabesenyő,Kistelepülés,80,"14,6",156,"10,8",76,"-3,8"
Nagyvenyim,Kistelepülés,234,"12,7",216,"10,5",-18,"-2,2"
Pétfürdő,Kistelepülés,163,"13,3",160,"10,8",-3,"-2,5"
Seregélyes,Kistelepülés,262,"12,5",351,"9,9",89,"-2,6"
Tiszacsege,Kistelepülés,763,"10,4",852,"8,7",89,"-1,7"
Mályi,Kistelepülés,226,"12,8",227,"10,4",1,"-2,4"
Pilisborosjenő,Kistelepülés,59,"15,3",141,"10,9",82,"-4,4"
Pilisszentiván,Kistelepülés,56,"15,4",79,"11,7",23,"-3,7"
Elek,Kistelepülés,603,"10,9",566,"9,3",-37,"-1,6"
Tószeg,Kistelepülés,267,"12,5",306,"10,1",39,"-2,4"
Ceglédbercel,Kistelepülés,364,12,362,"9,9",-2,"-2,1"
Tokod,Kistelepülés,440,"11,6",425,"9,7",-15,"-1,9"
Törtel,Kistelepülés,976,"9,9",999,"8,5",23,"-1,4"
Devecser,Kistelepülés,412,"11,7",268,"10,3",-144,"-1,4"
Rakamaz,Kistelepülés,360,12,303,"10,1",-57,"-1,9"
Ballószög,Kistelepülés,162,"13,3",376,"9,8",214,"-3,5"
Verőce,Kistelepülés,129,"13,7",113,"11,2",-16,"-2,5"
Hernád,Kistelepülés,201,"12,9",424,"9,7",223,"-3,2"
Tét,Kistelepülés,204,"12,9",209,"10,5",5,"-2,4"
Tab,Kistelepülés,101,14,66,12,-35,-2
Mende,Kistelepülés,277,"12,5",556,"9,3",279,"-3,2"
Ecser,Kistelepülés,73,"14,9",103,"11,3",30,"-3,6"
Körösladány,Kistelepülés,323,"12,2",182,"10,7",-141,"-1,5"
Kápolnásnyék,Kistelepülés,6,"19,6",5,15,-1,"-4,6"
Kenderes,Kistelepülés,791,"10,4",573,"9,3",-218,"-1,1"
Fadd,Kistelepülés,1267,"9,4",363,"9,9",-904,"0,5"
Szendrő,Kistelepülés,410,"11,7",769,"8,9",359,"-2,8"
Leányfalu,Kistelepülés,50,"15,5",56,"12,3",6,"-3,2"
Bocskaikert,Kistelepülés,202,"12,9",249,"10,3",47,"-2,6"
Tóalmás,Kistelepülés,470,"11,5",996,"8,5",526,-3
Szegvár,Kistelepülés,717,"10,6",541,"9,4",-176,"-1,2"
Adony,Kistelepülés,148,"13,4",199,"10,5",51,"-2,9"
Perkáta,Kistelepülés,730,"10,5",764,"8,9",34,"-1,6"
Tompa,Kistelepülés,447,"11,5",599,"9,2",152,"-2,3"
Vasvár,Kistelepülés,79,"14,6",78,"11,8",-1,"-2,8"
Doboz,Kistelepülés,565,"11,1",680,"9,1",115,-2
Gyenesdiás,Kistelepülés,54,"15,4",62,"12,1",8,"-3,3"
Fertőszentmiklós,Kistelepülés,96,"14,2",123,"11,1",27,"-3,1"
Demecser,Kistelepülés,118,"13,8",58,"12,2",-60,"-1,6"
Dunavecse,Kistelepülés,328,"12,1",416,"9,7",88,"-2,4"
Pannonhalma,Kistelepülés,9,"18,7",11,"14,5",2,"-4,2"
Biharkeresztes,Kistelepülés,317,"12,2",57,"12,2",-260,0
Abádszalók,Kistelepülés,403,"11,8",214,"10,5",-189,"-1,3"
Győrzámoly,Kistelepülés,102,14,88,"11,5",-14,"-2,5"
Bodajk,Kistelepülés,213,"12,8",233,"10,4",20,"-2,4"
Deszk,Kistelepülés,38,"15,9",36,"13,2",-2,"-2,7"
Pécsvárad,Kistelepülés,150,"13,4",22,14,-128,"0,6"
Bük,Kistelepülés,18,"17,3",13,"14,5",-5,"-2,8"
Tokaj,Kistelepülés,4,"20,8",3,"16,5",-1,"-4,3"
Mándok,Kistelepülés,635,"10,8",577,"9,3",-58,"-1,5"
Nyáregyháza,Kistelepülés,462,"11,5",659,"9,1",197,"-2,4"
Decs,Kistelepülés,860,"10,2",411,"9,7",-449,"-0,5"
