Település,Településtípus,Év,Rangsor
Tököl,Közepes település,2022,94
Bátonyterenye,Közepes település,2022,124
Sajószentpéter,Közepes település,2022,158
Bicske,Közepes település,2022,54
Kerepes,Közepes település,2022,127
Ráckeve,Közepes település,2022,55
Solymár,Közepes település,2022,25
Tiszafüred,Közepes település,2022,41
Sárospatak,Közepes település,2022,20
Marcali,Közepes település,2022,40
Tolna,Közepes település,2022,89
Tárnok,Közepes település,2022,113
Körmend,Közepes település,2022,34
Csömör,Közepes település,2022,62
Kisújszállás,Közepes település,2022,73
Tiszaföldvár,Közepes település,2022,107
Kapuvár,Közepes település,2022,37
Balatonalmádi,Közepes település,2022,18
Ócsa,Közepes település,2022,77
Heves,Közepes település,2022,100
Celldömölk,Közepes település,2022,36
Barcs,Közepes település,2022,44
Csorna,Közepes település,2022,79
Szigetvár,Közepes település,2022,86
Erdőkertes,Közepes település,2022,140
Mezőberény,Közepes település,2022,69
Nagyatád,Közepes település,2022,29
Edelény,Közepes település,2022,109
Sarkad,Közepes település,2022,143
Nagykálló,Közepes település,2022,87
Kiskunlacháza,Közepes település,2022,117
Dunavarsány,Közepes település,2022,51
Nagykovácsi,Közepes település,2022,81
Siklós,Közepes település,2022,52
Piliscsaba,Közepes település,2022,31
Pásztó,Közepes település,2022,21
Sülysáp,Közepes település,2022,135
Páty,Közepes település,2022,58
Szerencs,Közepes település,2022,14
Derecske,Közepes település,2022,85
Hajdúdorog,Közepes település,2022,116
Szentgotthárd,Közepes település,2022,4
Sándorfalva,Közepes település,2022,150
Üröm,Közepes település,2022,74
Őrbottyán,Közepes település,2022,145
Jászapáti,Közepes település,2022,122
Dunaföldvár,Közepes település,2022,19
Nádudvar,Közepes település,2022,118
Kunszentmiklós,Közepes település,2022,76
Ercsi,Közepes település,2022,129
Szeghalom,Közepes település,2022,67
Győrújbarát,Közepes település,2022,93
Jánoshalma,Közepes település,2022,176
Vásárosnamény,Közepes település,2022,75
Mogyoród,Közepes település,2022,88
Kecel,Közepes település,2022,172
Polgár,Közepes település,2022,148
Túrkeve,Közepes település,2022,152
Tura,Közepes település,2022,159
Tamási,Közepes település,2022,12
Velence,Közepes település,2022,59
Jászárokszállás,Közepes település,2022,47
Nyíradony,Közepes település,2022,111
Kunszentmárton,Közepes település,2022,123
Nyergesújfalu,Közepes település,2022,7
Füzesabony,Közepes település,2022,99
Fehérgyarmat,Közepes település,2022,23
Lenti,Közepes település,2022,38
Kistelek,Közepes település,2022,80
Soltvadkert,Közepes település,2022,144
Kunhegyes,Közepes település,2022,131
Ács,Közepes település,2022,126
Taksony,Közepes település,2022,90
Létavértes,Közepes település,2022,171
Dévaványa,Közepes település,2022,119
Kozármisleny,Közepes település,2022,83
Polgárdi,Közepes település,2022,115
Zirc,Közepes település,2022,24
Nyírtelek,Közepes település,2022,153
Enying,Közepes település,2022,155
Kerekegyháza,Közepes település,2022,151
Felsőzsolca,Közepes település,2022,112
Ibrány,Közepes település,2022,110
Putnok,Közepes település,2022,161
Szada,Közepes település,2022,33
Nagytarcsa,Közepes település,2022,28
Mindszent,Közepes település,2022,160
Téglás,Közepes település,2022,139
Mórahalom,Közepes település,2022,46
Tahitótfalu,Közepes település,2022,146
Vésztő,Közepes település,2022,149
Tápiószecső,Közepes település,2022,178
Encs,Közepes település,2022,72
Fegyvernek,Közepes település,2022,166
Aszód,Közepes település,2022,9
Dömsöd,Közepes település,2022,170
Bácsalmás,Közepes település,2022,96
Szentlőrinc,Közepes település,2022,138
Solt,Közepes település,2022,104
Kartal,Közepes település,2022,137
Nagyecsed,Közepes település,2022,167
Jánossomorja,Közepes település,2022,91
Martonvásár,Közepes település,2022,68
Szabadszállás,Közepes település,2022,163
Tápiószele,Közepes település,2022,164
Bátaszék,Közepes település,2022,42
Újszász,Közepes település,2022,130
Balkány,Közepes település,2022,179
Sümeg,Közepes település,2022,57
Jászfényszaru,Közepes település,2022,53
Délegyháza,Közepes település,2022,101
Zsámbék,Közepes település,2022,6
Zalaszentgrót,Közepes település,2022,65
Pusztaszabolcs,Közepes település,2022,154
Berhida,Közepes település,2022,141
Martfű,Közepes település,2022,63
Tápiószentmárton,Közepes település,2022,174
Mezőcsát,Közepes település,2022,169
Rajka,Közepes település,2022,184
Alsózsolca,Közepes település,2022,175
Kisbér,Közepes település,2022,30
Alsónémedi,Közepes település,2022,49
Izsák,Közepes település,2022,180
Szikszó,Közepes település,2022,10
Lőrinci,Közepes település,2022,128
Hosszúpályi,Közepes település,2022,181
Csákvár,Közepes település,2022,132
Jászladány,Közepes település,2022,183
Algyő,Közepes település,2022,66
Tiszalök,Közepes település,2022,134
Balatonboglár,Közepes település,2022,3
Mezőkovácsháza,Közepes település,2022,71
Nagyhalász,Közepes település,2022,162
Tótkomlós,Közepes település,2022,92
Kaba,Közepes település,2022,125
Bugyi,Közepes település,2022,78
Szécsény,Közepes település,2022,95
Tát,Közepes település,2022,120
Mikepércs,Közepes település,2022,156
Nagymaros,Közepes település,2022,136
Vámospércs,Közepes település,2022,157
Monorierdő,Közepes település,2022,168
Nyékládháza,Közepes település,2022,133
Balatonlelle,Közepes település,2022,27
Fonyód,Közepes település,2022,5
Rákóczifalva,Közepes település,2022,177
Kunmadaras,Kistelepülés,2022,1409
Battonya,Kistelepülés,2022,343
Füzesgyarmat,Kistelepülés,2022,221
Szatymaz,Kistelepülés,2022,391
Helvécia,Kistelepülés,2022,331
Lábatlan,Kistelepülés,2022,237
Komádi,Kistelepülés,2022,504
Szentmártonkáta,Kistelepülés,2022,699
Örkény,Kistelepülés,2022,489
Lakitelek,Kistelepülés,2022,184
Tiszaalpár,Kistelepülés,2022,648
Egyek,Kistelepülés,2022,1199
Sződliget,Kistelepülés,2022,117
Jászkisér,Kistelepülés,2022,599
Rácalmás,Kistelepülés,2022,41
Környe,Kistelepülés,2022,58
Domaszék,Kistelepülés,2022,581
Tiszalúc,Kistelepülés,2022,812
Emőd,Kistelepülés,2022,369
Inárcs,Kistelepülés,2022,153
Szabadbattyán,Kistelepülés,2022,863
Onga,Kistelepülés,2022,329
Harkány,Kistelepülés,2022,71
Újkígyós,Kistelepülés,2022,495
Kemecse,Kistelepülés,2022,336
Nyírmada,Kistelepülés,2022,916
Nyúl,Kistelepülés,2022,181
Ebes,Kistelepülés,2022,62
Balatonfűzfő,Kistelepülés,2022,11
Mélykút,Kistelepülés,2022,396
Kondoros,Kistelepülés,2022,452
Hévíz,Kistelepülés,2022,2
Mezőfalva,Kistelepülés,2022,586
Dány,Kistelepülés,2022,481
Telki,Kistelepülés,2022,34
Etyek,Kistelepülés,2022,92
Kótaj,Kistelepülés,2022,641
Aba,Kistelepülés,2022,40
Csorvás,Kistelepülés,2022,356
Kóka,Kistelepülés,2022,404
Nagyszénás,Kistelepülés,2022,400
Csemő,Kistelepülés,2022,714
Csenger,Kistelepülés,2022,29
Mezőhegyes,Kistelepülés,2022,320
Csurgó,Kistelepülés,2022,35
Szirmabesenyő,Kistelepülés,2022,80
Nagyvenyim,Kistelepülés,2022,234
Pétfürdő,Kistelepülés,2022,163
Seregélyes,Kistelepülés,2022,262
Tiszacsege,Kistelepülés,2022,763
Mályi,Kistelepülés,2022,226
Pilisborosjenő,Kistelepülés,2022,59
Pilisszentiván,Kistelepülés,2022,56
Elek,Kistelepülés,2022,603
Tószeg,Kistelepülés,2022,267
Ceglédbercel,Kistelepülés,2022,364
Tokod,Kistelepülés,2022,440
Törtel,Kistelepülés,2022,976
Devecser,Kistelepülés,2022,412
Rakamaz,Kistelepülés,2022,360
Ballószög,Kistelepülés,2022,162
Verőce,Kistelepülés,2022,129
Hernád,Kistelepülés,2022,201
Tét,Kistelepülés,2022,204
Tab,Kistelepülés,2022,101
Mende,Kistelepülés,2022,277
Ecser,Kistelepülés,2022,73
Körösladány,Kistelepülés,2022,323
Kápolnásnyék,Kistelepülés,2022,6
Kenderes,Kistelepülés,2022,791
Fadd,Kistelepülés,2022,1267
Szendrő,Kistelepülés,2022,410
Leányfalu,Kistelepülés,2022,50
Bocskaikert,Kistelepülés,2022,202
Tóalmás,Kistelepülés,2022,470
Szegvár,Kistelepülés,2022,717
Adony,Kistelepülés,2022,148
Perkáta,Kistelepülés,2022,730
Tompa,Kistelepülés,2022,447
Vasvár,Kistelepülés,2022,79
Doboz,Kistelepülés,2022,565
Gyenesdiás,Kistelepülés,2022,54
Fertőszentmiklós,Kistelepülés,2022,96
Demecser,Kistelepülés,2022,118
Dunavecse,Kistelepülés,2022,328
Pannonhalma,Kistelepülés,2022,9
Biharkeresztes,Kistelepülés,2022,317
Abádszalók,Kistelepülés,2022,403
Győrzámoly,Kistelepülés,2022,102
Bodajk,Kistelepülés,2022,213
Deszk,Kistelepülés,2022,38
Pécsvárad,Kistelepülés,2022,150
Bük,Kistelepülés,2022,18
Tokaj,Kistelepülés,2022,4
Mándok,Kistelepülés,2022,635
Nyáregyháza,Kistelepülés,2022,462
Decs,Kistelepülés,2022,860
Záhony,Kistelepülés,2022,128
Felsőpakony,Kistelepülés,2022,225
Letenye,Kistelepülés,2022,293
Hegyeshalom,Kistelepülés,2022,147
Bag,Kistelepülés,2022,438
Szajol,Kistelepülés,2022,209
Bóly,Kistelepülés,2022,17
Verpelét,Kistelepülés,2022,457
Nyírpazony,Kistelepülés,2022,230
Földes,Kistelepülés,2022,445
Ásotthalom,Kistelepülés,2022,779
Kiszombor,Kistelepülés,2022,525
Dombrád,Kistelepülés,2022,170
Pákozd,Kistelepülés,2022,74
Csobánka,Kistelepülés,2022,238
Napkor,Kistelepülés,2022,441
Nyírábrány,Kistelepülés,2022,923
Sóskút,Kistelepülés,2022,46
Kulcs,Kistelepülés,2022,308
Nyíracsád,Kistelepülés,2022,615
Simontornya,Kistelepülés,2022,61
Cibakháza,Kistelepülés,2022,924
Arló,Kistelepülés,2022,2635
Tápióbicske,Kistelepülés,2022,697
Ráckeresztúr,Kistelepülés,2022,307
Zagyvarékas,Kistelepülés,2022,675
Mezőkeresztes,Kistelepülés,2022,482
Vértesszőlős,Kistelepülés,2022,106
Hort,Kistelepülés,2022,512
Baktalórántháza,Kistelepülés,2022,235
Győrszemere,Kistelepülés,2022,326
Hernádnémeti,Kistelepülés,2022,547
Tápiógyörgye,Kistelepülés,2022,585
Felsőtárkány,Kistelepülés,2022,94
Sződ,Kistelepülés,2022,195
Taktaharkány,Kistelepülés,2022,1370
Baracs,Kistelepülés,2022,1041
Farmos,Kistelepülés,2022,424
Bábolna,Kistelepülés,2022,65
Érsekvadkert,Kistelepülés,2022,647
Kál,Kistelepülés,2022,609
Vaja,Kistelepülés,2022,558
Cserszegtomaj,Kistelepülés,2022,217
Kállósemjén,Kistelepülés,2022,544
Harta,Kistelepülés,2022,305
Zsombó,Kistelepülés,2022,357
Táborfalva,Kistelepülés,2022,505
Hosszúhetény,Kistelepülés,2022,249
Herend,Kistelepülés,2022,75
Röszke,Kistelepülés,2022,257
Sükösd,Kistelepülés,2022,738
Fertőd,Kistelepülés,2022,109
Hévízgyörk,Kistelepülés,2022,296
Békésszentandrás,Kistelepülés,2022,152
Dunabogdány,Kistelepülés,2022,189
Kétegyháza,Kistelepülés,2022,634
Gávavencsellő,Kistelepülés,2022,593
Halászi,Kistelepülés,2022,190
Ajak,Kistelepülés,2022,280
Erdőtelek,Kistelepülés,2022,979
Vép,Kistelepülés,2022,269
Hodász,Kistelepülés,2022,2165
Orgovány,Kistelepülés,2022,722
Gönyű,Kistelepülés,2022,67
Bordány,Kistelepülés,2022,573
Gádoros,Kistelepülés,2022,672
Tuzsér,Kistelepülés,2022,882
Abda,Kistelepülés,2022,77
Lébény,Kistelepülés,2022,219
Kengyel,Kistelepülés,2022,770
Nagybajom,Kistelepülés,2022,554
Balástya,Kistelepülés,2022,480
Sárosd,Kistelepülés,2022,1067
Csepreg,Kistelepülés,2022,149
Jászalsószentgyörgy,Kistelepülés,2022,475
Gomba,Kistelepülés,2022,361
Kakucs,Kistelepülés,2022,291
Medgyesegyháza,Kistelepülés,2022,444
Vaskút,Kistelepülés,2022,571
Akasztó,Kistelepülés,2022,518
Nagyréde,Kistelepülés,2022,423
Tiszabura,Kistelepülés,2022,2772
Besenyszög,Kistelepülés,2022,430
Csolnok,Kistelepülés,2022,1040
Ecséd,Kistelepülés,2022,809
Lepsény,Kistelepülés,2022,344
Baracska,Kistelepülés,2022,255
Öcsöd,Kistelepülés,2022,1066
Üllés,Kistelepülés,2022,413
Nemesvámos,Kistelepülés,2022,8
Dunapataj,Kistelepülés,2022,384
Sárszentmihály,Kistelepülés,2022,275
Szigetmonostor,Kistelepülés,2022,97
Harka,Kistelepülés,2022,315
Sajókaza,Kistelepülés,2022,1446
Tokodaltáró,Kistelepülés,2022,694
Bakonycsernye,Kistelepülés,2022,990
Hajmáskér,Kistelepülés,2022,523
Ópályi,Kistelepülés,2022,1330
Hajdúszovát,Kistelepülés,2022,1767
Cigánd,Kistelepülés,2022,841
Öttevény,Kistelepülés,2022,186
Nyírbogát,Kistelepülés,2022,278
Csabrendek,Kistelepülés,2022,728
Boldog,Kistelepülés,2022,682
Bököny,Kistelepülés,2022,2003
Baj,Kistelepülés,2022,205
Diósjenő,Kistelepülés,2022,420
Tápiószőlős,Kistelepülés,2022,1052
Lengyeltóti,Kistelepülés,2022,261
Földeák,Kistelepülés,2022,645
Balatonszabadi,Kistelepülés,2022,244
Sajólád,Kistelepülés,2022,802
Ostoros,Kistelepülés,2022,191
Vámosszabadi,Kistelepülés,2022,104
Borsodnádasd,Kistelepülés,2022,1175
Tass,Kistelepülés,2022,608
Nagyhegyes,Kistelepülés,2022,122
Újhartyán,Kistelepülés,2022,48
Sásd,Kistelepülés,2022,135
Gyöngyössolymos,Kistelepülés,2022,381
Apátfalva,Kistelepülés,2022,907
Jászjákóhalma,Kistelepülés,2022,955
Karácsond,Kistelepülés,2022,611
Herceghalom,Kistelepülés,2022,21
Rábapatona,Kistelepülés,2022,659
Zalakomár,Kistelepülés,2022,1244
Érsekcsanád,Kistelepülés,2022,551
Szalkszentmárton,Kistelepülés,2022,562
Pátroha,Kistelepülés,2022,1108
Pócsmegyer,Kistelepülés,2022,233
Iváncsa,Kistelepülés,2022,137
Tarján,Kistelepülés,2022,595
Bélapátfalva,Kistelepülés,2022,456
Levelek,Kistelepülés,2022,428
Zamárdi,Kistelepülés,2022,16
Sárisáp,Kistelepülés,2022,1337
Szigetcsép,Kistelepülés,2022,359
Zalalövő,Kistelepülés,2022,684
Nyírbéltek,Kistelepülés,2022,1132
Abaújszántó,Kistelepülés,2022,335
Tápióság,Kistelepülés,2022,689
Kocsord,Kistelepülés,2022,701
Kóny,Kistelepülés,2022,301
Jakabszállás,Kistelepülés,2022,406
Múcsony,Kistelepülés,2022,465
Forró,Kistelepülés,2022,1004
Nagyigmánd,Kistelepülés,2022,526
Nagymágocs,Kistelepülés,2022,743
Hajós,Kistelepülés,2022,677
Lovasberény,Kistelepülés,2022,270
Pilisszántó,Kistelepülés,2022,405
Nyírbogdány,Kistelepülés,2022,600
Nagycenk,Kistelepülés,2022,227
Poroszló,Kistelepülés,2022,286
Sárrétudvari,Kistelepülés,2022,421
Rétság,Kistelepülés,2022,69
Dusnok,Kistelepülés,2022,549
Pér,Kistelepülés,2022,185
Szentgál,Kistelepülés,2022,591
Gencsapáti,Kistelepülés,2022,103
Tarcal,Kistelepülés,2022,283
Zákányszék,Kistelepülés,2022,925
Andornaktálya,Kistelepülés,2022,243
Péteri,Kistelepülés,2022,282
Bőcs,Kistelepülés,2022,388
Kesztölc,Kistelepülés,2022,502
Kocs,Kistelepülés,2022,933
Kismaros,Kistelepülés,2022,87
Úrhida,Kistelepülés,2022,222
Gesztely,Kistelepülés,2022,548
Újszilvás,Kistelepülés,2022,371
Dánszentmiklós,Kistelepülés,2022,448
Hőgyész,Kistelepülés,2022,671
Jászszentandrás,Kistelepülés,2022,433
Kisköre,Kistelepülés,2022,589
Mosonszentmiklós,Kistelepülés,2022,818
Bölcske,Kistelepülés,2022,854
Bugac,Kistelepülés,2022,476
Balatonkenese,Kistelepülés,2022,22
Koroncó,Kistelepülés,2022,254
Szigetszentmárton,Kistelepülés,2022,197
Megyaszó,Kistelepülés,2022,1615
Porcsalma,Kistelepülés,2022,1196
Szakoly,Kistelepülés,2022,614
Táplánszentkereszt,Kistelepülés,2022,279
Tiszadob,Kistelepülés,2022,797
Töltéstava,Kistelepülés,2022,155
Sajóbábony,Kistelepülés,2022,256
Vál,Kistelepülés,2022,214
Úri,Kistelepülés,2022,460
Adács,Kistelepülés,2022,947
Gyöngyöshalász,Kistelepülés,2022,264
Csanytelek,Kistelepülés,2022,710
Piliscsév,Kistelepülés,2022,1087
Cece,Kistelepülés,2022,373
Madaras,Kistelepülés,2022,1042
Sárkeresztúr,Kistelepülés,2022,1779
Valkó,Kistelepülés,2022,596
Jászkarajenő,Kistelepülés,2022,711
Ják,Kistelepülés,2022,203
Pocsaj,Kistelepülés,2022,938
Szob,Kistelepülés,2022,14
Abasár,Kistelepülés,2022,178
Galgahévíz,Kistelepülés,2022,352
Recsk,Kistelepülés,2022,527
Győrújfalu,Kistelepülés,2022,120
Besenyőtelek,Kistelepülés,2022,773
Csanádpalota,Kistelepülés,2022,741
Nyírmeggyes,Kistelepülés,2022,1158
Kosd,Kistelepülés,2022,239
Nagydorog,Kistelepülés,2022,496
Kisláng,Kistelepülés,2022,1522
Tiszakeszi,Kistelepülés,2022,1036
Kistokaj,Kistelepülés,2022,81
Apc,Kistelepülés,2022,473
Répcelak,Kistelepülés,2022,31
Dunaszentgyörgy,Kistelepülés,2022,1150
Petőfibánya,Kistelepülés,2022,459
Mány,Kistelepülés,2022,826
Iregszemcse,Kistelepülés,2022,756
Ófehértó,Kistelepülés,2022,929
Maklár,Kistelepülés,2022,64
Tarpa,Kistelepülés,2022,530
Előszállás,Kistelepülés,2022,764
Pusztavám,Kistelepülés,2022,570
Prügy,Kistelepülés,2022,1223
Vonyarcvashegy,Kistelepülés,2022,43
Beled,Kistelepülés,2022,160
Budajenő,Kistelepülés,2022,47
Fertőrákos,Kistelepülés,2022,247
Nyírlugos,Kistelepülés,2022,640
Jánoshida,Kistelepülés,2022,606
Karancslapujtő,Kistelepülés,2022,1140
Ágfalva,Kistelepülés,2022,242
Kaposmérő,Kistelepülés,2022,207
Biharnagybajom,Kistelepülés,2022,790
Sellye,Kistelepülés,2022,231
Kimle,Kistelepülés,2022,798
Boldva,Kistelepülés,2022,1436
Naszály,Kistelepülés,2022,431
Szabadkígyós,Kistelepülés,2022,533
Jászszentlászló,Kistelepülés,2022,333
Szárliget,Kistelepülés,2022,172
Zsámbok,Kistelepülés,2022,483
Tiszaeszlár,Kistelepülés,2022,735
Bagamér,Kistelepülés,2022,1531
Zalakaros,Kistelepülés,2022,23
Szentistván,Kistelepülés,2022,521
Csanádapáca,Kistelepülés,2022,706
Jánosháza,Kistelepülés,2022,339
Sajószöged,Kistelepülés,2022,110
Pellérd,Kistelepülés,2022,855
Vácrátót,Kistelepülés,2022,112
Kelebia,Kistelepülés,2022,602
Kunágota,Kistelepülés,2022,1459
Gyöngyöspata,Kistelepülés,2022,871
Kadarkút,Kistelepülés,2022,392
Balatonföldvár,Kistelepülés,2022,12
Levél,Kistelepülés,2022,182
Tiszanána,Kistelepülés,2022,1203
Ruzsa,Kistelepülés,2022,1086
Dunaszeg,Kistelepülés,2022,83
Tordas,Kistelepülés,2022,125
Szomód,Kistelepülés,2022,1062
Ónod,Kistelepülés,2022,985
Fényeslitke,Kistelepülés,2022,180
Nyárlőrinc,Kistelepülés,2022,394
Tornyospálca,Kistelepülés,2022,1181
Káloz,Kistelepülés,2022,1363
Bácsbokod,Kistelepülés,2022,612
Rudabánya,Kistelepülés,2022,958
Berzence,Kistelepülés,2022,786
Báránd,Kistelepülés,2022,528
Arnót,Kistelepülés,2022,276
Tunyogmatolcs,Kistelepülés,2022,709
Lánycsók,Kistelepülés,2022,351
Görbeháza,Kistelepülés,2022,509
Pázmánd,Kistelepülés,2022,829
Écs,Kistelepülés,2022,133
Fülöpszállás,Kistelepülés,2022,643
Kerecsend,Kistelepülés,2022,944
Bőny,Kistelepülés,2022,872
Iszkaszentgyörgy,Kistelepülés,2022,597
Zámoly,Kistelepülés,2022,1243
Őcsény,Kistelepülés,2022,330
Mezőzombor,Kistelepülés,2022,1724
Köröstarcsa,Kistelepülés,2022,537
Szendrőlád,Kistelepülés,2022,2662
Nyírkarász,Kistelepülés,2022,681
Bekecs,Kistelepülés,2022,354
Buj,Kistelepülés,2022,787
Segesd,Kistelepülés,2022,1281
Apagy,Kistelepülés,2022,399
Bősárkány,Kistelepülés,2022,821
Szank,Kistelepülés,2022,566
Szigetújfalu,Kistelepülés,2022,491
Domony,Kistelepülés,2022,529
Gyöngyöstarján,Kistelepülés,2022,389
Pilisszentkereszt,Kistelepülés,2022,232
Kéthely,Kistelepülés,2022,561
Kisszállás,Kistelepülés,2022,686
Dunakiliti,Kistelepülés,2022,151
Vácszentlászló,Kistelepülés,2022,300
Litér,Kistelepülés,2022,140
Békéssámson,Kistelepülés,2022,1346
Szászvár,Kistelepülés,2022,930
Tiszakarád,Kistelepülés,2022,2303
Tiszabő,Kistelepülés,2022,2760
Böhönye,Kistelepülés,2022,1009
Pilismarót,Kistelepülés,2022,795
Öskü,Kistelepülés,2022,1030
Beremend,Kistelepülés,2022,211
Nyírcsaholy,Kistelepülés,2022,937
Városföld,Kistelepülés,2022,174
Badacsonytomaj,Kistelepülés,2022,25
Csopak,Kistelepülés,2022,15
Sáránd,Kistelepülés,2022,380
Monostorpályi,Kistelepülés,2022,534
Nyírmihálydi,Kistelepülés,2022,2296
Perbál,Kistelepülés,2022,132
Ádánd,Kistelepülés,2022,663
Ásványráró,Kistelepülés,2022,368
Romhány,Kistelepülés,2022,425
Császártöltés,Kistelepülés,2022,500
Cserkeszőlő,Kistelepülés,2022,93
Okány,Kistelepülés,2022,1198
Nagydobos,Kistelepülés,2022,946
Gara,Kistelepülés,2022,1069
Mocsa,Kistelepülés,2022,968
Almásfüzitő,Kistelepülés,2022,161
Nagymányok,Kistelepülés,2022,927
Alattyán,Kistelepülés,2022,696
Csévharaszt,Kistelepülés,2022,183
Kecskéd,Kistelepülés,2022,1039
Máriakálnok,Kistelepülés,2022,303
Kunfehértó,Kistelepülés,2022,311
Bokod,Kistelepülés,2022,353
Mágocs,Kistelepülés,2022,416
Felsőörs,Kistelepülés,2022,111
Balatonszárszó,Kistelepülés,2022,36
Csány,Kistelepülés,2022,769
Nyársapát,Kistelepülés,2022,1859
Pétervására,Kistelepülés,2022,515
Döge,Kistelepülés,2022,543
Fehérvárcsurgó,Kistelepülés,2022,761
